,asignatura,clave
6000,Abastecimientos,II3473
2011,Actividades náuticas y turismo deportivo,TS3430
122,Acuerdos y organismos reguladores del comercio internacional,NI0319
33,Administración contemporánea en la industria gastronómica,GA0111
6295,Administración de alimentos y bebidas,TS3435
147,Administración de centros de consumo de alimentos y bebidas,GA3436
6458,Administración de cocinas,GA3431
121,Administración de empresas exportadoras,NI3426
339,Administración de flotas y terminales,IL0207
3059,Administración de negocios electrónicos,NI3430
177,Administración de proyectos,IE3437
7038,Administración de proyectos de desarrollo de software,IT0423
1508,Administración de recursos humanos,NI3468
6396,Administración de recursos humanos,GA0208
6256,Administración de redes y servicios,IT3440
3744,Administración de servicios turísticos ,TS0218
236,Administración de servicios turísticos y hoteleros,TS0105
3,Administración financiera,NI0209
248,Administración moderna,NI0106
173,Administración y comercialización de bienes raíces,IE3474
5574,Administración y operación de comedores industriales,GA3494
240,Agencias de viaje y transportación,TS0209
1158,Aire acondicionado y refrigeración,II3474
6282,Algoritmo y estructura de datos,II0321
464,Algoritmos y estructura de datos,IT0101
447,"Alianzas, franquicias y concesiones",NI0266
6401,"Alianzas, franquicias y concesiones",GA3475
6461,Alta cocina internacional,GA3481
6404,Alta pastelería,GA3482
370,Analítica para la inteligencia de negocios,ID3420
4101,Análisis de casos de éxito y fracaso empresarial,IE3471
7399,Análisis de casos en negocios electrónicos,NI3434
159,Análisis de casos en negocios internacionales,NI3473
6151,Análisis de casos hoteleros,TS3479
341,Análisis de grandes volúmenes de datos,ID0308
199,Análisis del consumidor,IE3468
3769,Análisis del desarrollo regional,NI3479
146,Análisis financiero,GA0323
376,Análisis sistemático de la producción y distribución de bienes y servicios,IL0203
165,Aplicaciones del sistema de apertura rápida de empresas,IE3432
1071,Apreciación cinematográfica,TA0006
4266,Apreciación e historia del arte,TA0034
345,Aprendizaje estadístico,ID0309
2425,Arquitectura de computadoras,IT0316
7079,Arquitectura de objetos distribuidos,IT0424
1239,Bailes caribeños,TA0010
2410,Base de datos distribuidas,IT0262
35,Bases culinarias,GA0106
462,Bases de Datos,ID0204
196,Basquetbol,AD0003
9211,Bioclimatismo,IA3420
161,Bioenergéticos,IA3430
1551,Bioremediación,IA3424
490,Cadenas y franquicias en los servicios turísticos,TS0165
8885,Calidad del agua,IA0412
6250,Calidad del aire,II3433
8963,Calidad del aire,IA0414
2882,Calidad en los servicios turísticos,TS0423
23,Canales de distribución y logística,IE0217
210,Canto,TA0031
2030,Características y tendencias de la actividad turística,TS3426
93,"Carnes, aves, pescados y mariscos",GA0166
96,Ciencia de los alimentos,GA0105
2523,Circuitos turísticos,TS0318
218,Cocina de la cuenca del Caribe,GA3478
6453,Cocina de vanguardia,GA3485
6421,Cocina española,GA3474
6413,Cocina francesa,GA3472
104,"Cocina fría, charcuterie y garde-manger",GA3480
6419,Cocina italiana,GA3473
3608,Cocina mediterránea,GA3435
4513,Cocina oriental,GA3486
149,Cocina peninsular,GA0165
144,Cocina regional mexicana,GA0223
4510,Cocina sudamericana,GA3490
2991,Cocina árabe,GA3489
2447,Comercio electrónico,IL3466
11,Comercio internacional,NI0211
5,Comercio internacional de México,NI0214
12206,Comunicaciones digitales,IT3438
1535,Consultoría en competitividad y calidad empresarial,IE3421
139,Contabilidad administrativa,GA3468
37,Contabilidad básica,GA0104
198,Contabilidad básica,NI0102
314,Contabilidad básica,TS0211
383,Contabilidad financiera,II0217
280,Contabilidad financiera y costos,TS0317
560,Contabilidad y costos para ingeniería,ID0262
290,Control de calidad ,IL0313
7692,Control de emisiones,IA3422
9638,Control y principios de automatización,IA3417
2955,Coro,TA0008
254,Costos,NI0163
230,Costos de alimentos y bebidas,GA0221
193,Costos y fijación de precios,IE0106
850,Creatividad y emprendimiento,IE0162
9039,Crítica gastronómica,GA3492
2024,Cultura regional,TS0207
6313,Cultura y desarrollo turístico del Caribe,TS3475
252,Cálculo diferencial,NI0103
203,Cálculo diferencial,II0106
1324,Cálculo integral,II0209
1163,Cálculo vectorial,II0218
244,Cómputo de alto desempeño,ID0411
1013,Cómputo ubicuo,ID3415
4512,Decoración con alimentos,GA3487
117,Derecho aduanero,NI0212
255,Derecho civil y mercantil,NI0104
3540,Derechos humanos,NI0160
38,Desarrollo de habilidades del pensamiento,DP0194
5154,Desarrollo de habilidades gerenciales,IL3421
20,Desarrollo e innovación empresarial,IE0209
238,Desarrollo y turismo sustentable,TS0103
673,Dibujo y pintura,TA0017
6934,Dietología,GA3471
34815,Dirección de empresas,II3437
4664,Dirección estratégica de hoteles,TS3437
1164,Diseño asistido por computadora,II0108
1156,Diseño de experimentos,IL0308
2483,Diseño de interfaces humano-máquina,IT0317
242,Diseño de juegos,ID3417
572,Diseño de patrones para datos estructurados,ID0101
1170,Diseño de procesos industriales,II3479
454,Diseño de productos y servicios innovadores,IE0213
2428,Diseño de sistemas operativos,IT0318
5902,Diseño integral de planes de negocios,IE3431
231,Diseño multimedia,ID3416
25,Diseño organizacional,IE0318
124,Diseño y comercialización de productos de exportación,NI3438
6288,Diseño y decoración de hoteles,TS3482
5158,Distribución estratégica,II3440
